OSG Identifier,Institution Name,ROR Value,OSG Value
k8s-gpu-4.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
k8s-gpu-5.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
prp-perfsonar-1.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
seaweed-dtn100-1.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
siderea.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
venadi.ucsc.edu,"University of California, Santa Cruz",https://ror.org/03s65by71,https://osg-htc.org/iid/n6cai04882ca
rincewind.crbs.ucsd.edu,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
unseenu.crbs.ucsd.edu,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
osdftest.t2.ucsd.edu,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
stashcache.t2.ucsd.edu,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
xcache-10.t2.ucsd.edu,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
xcache-11.t2.ucsd.edu,"University of California, San Diego",https://ror.org/0168r3w48,https://osg-htc.org/iid/06wup3aye2t7
ceph00.nrp.hpc.udel.edu,University of Delaware,https://ror.org/01sbq1a82,https://osg-htc.org/iid/j2iu11x3iayo
evldtn.evl.uic.edu,University of Illinois at Chicago,https://ror.org/02mpq6x41,https://osg-htc.org/iid/y691qclum4cv
uicnrp-fiona.evl.uic.edu,University of Illinois at Chicago,https://ror.org/02mpq6x41,https://osg-htc.org/iid/y691qclum4cv
uicnrp-fiona2.evl.uic.edu,University of Illinois at Chicago,https://ror.org/02mpq6x41,https://osg-htc.org/iid/y691qclum4cv
uicnrp01.evl.uic.edu,University of Illinois at Chicago,https://ror.org/02mpq6x41,https://osg-htc.org/iid/y691qclum4cv
uicnrp02.evl.uic.edu,University of Illinois at Chicago,https://ror.org/02mpq6x41,https://osg-htc.org/iid/y691qclum4cv
hcc-chase-shor-c4705.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-chase-shor-c4709.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-chase-shor-c4715.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
hcc-chase-shor-c4719.unl.edu,University of Nebraska–Lincoln,https://ror.org/043mer456,https://osg-htc.org/iid/q9k1b8dfrw25
